cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,copy_player,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance,clique_5_distance
5.0,82.0,8.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.415573355366984,0.8036346463838514,0.5726653990159556,0.6135825738924355,0.6263848676911069,0.6576011753326176,0.6015605708467804
5.0,83.0,10.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.413889428426978,0.7761006774046204,0.5653282087330559,0.6157458020185862,0.6086345206268285,0.5899340737812809,0.5899736043769915
5.0,84.0,9.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.4087291498876904,0.7751179474468344,0.6344004641510864,0.5799497190222999,0.6158863087518417,0.6050953794536157,0.6367775664561234
5.0,85.0,5.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.392802236613519,0.7098678454673373,0.6428466351283889,0.593740057265038,0.6124373208794492,0.6247696330277128,0.6150501383886436
5.0,86.0,8.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.428127674708513,0.7477419794862548,0.6067319406206393,0.6198159235305929,0.6088259757902722,0.6046258757752699,0.6016878906938546
5.0,87.0,6.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.398186451204457,0.7353486283615082,0.6291625908014427,0.6451592791376499,0.5825128449721338,0.6334419186239184,0.6234441243616151
5.0,88.0,8.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4208415343918843,0.8113245950142273,0.5887504122360769,0.5701614514424571,0.5883774597713253,0.6276644090617544,0.6003590371968424
5.0,89.0,9.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.398872906326193,0.7473574523936024,0.6148774093123096,0.5857999435638674,0.6166911685679282,0.640159141296688,0.6085273536151651
5.0,90.0,10.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.376952753142827,0.7374408468248838,0.6464069925674638,0.6064682231985897,0.5886653563913679,0.6503645937915159,0.5972621279431853
5.0,91.0,9.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.3914710746770305,0.7944847584127558,0.6927318257908511,0.6223779740298044,0.6758903652240882,0.680650405440719,0.5840246274131378
5.0,92.0,6.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.410488234189577,0.7408651819050159,0.6123485441945963,0.5915797392993777,0.5562633008249759,0.5783344233781506,0.6130500307044257
