cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance
2.0,87.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4174337881962304,0.6540919879810615,0.6152801299479863,0.5814327160115876
2.0,88.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.389832170847392,0.6841321515501607,0.6245810963505071,0.6099021236287763
2.0,89.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.401706942332122,0.6629525023220164,0.6342118175084547,0.5963832834351455
2.0,90.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4674414884461493,0.6782334143779629,0.6060608222155714,0.6133379098552334
2.0,91.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.343607633681686,0.6783165317412094,0.6189692198304885,0.6084044169721249
2.0,92.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4067391979242823,0.6801652729915084,0.6119291600044239,0.6208366595394265
2.0,93.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.450542664941199,0.7246423356481253,0.6110162400198028,0.6265173092299289
2.0,94.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.419110966233953,0.6569657154817266,0.5905364225242113,0.6179223401656116
2.0,95.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4275087283772874,0.6540140538346791,0.5997626027553178,0.586804369611813
2.0,96.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4134984716744916,0.6938500545673087,0.6101861402549575,0.6002493026483107
2.0,97.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3985056323617657,0.6699837837080593,0.6101325827462429,0.5873699686410747
2.0,98.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4377035676722354,0.7239403841801093,0.6256050116052244,0.6403803036412479
2.0,99.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4341312346064115,0.6657086967327828,0.6089483944470703,0.5896095936165013
2.0,100.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3666122613531217,0.687455054490399,0.5875686267735823,0.6055734217616973
2.0,101.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4024104232111116,0.6592434395005629,0.6076733777452801,0.6179368055646832
2.0,102.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.475603684678291,0.6913940633007885,0.626980796882501,0.5809289340296729
2.0,103.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3845951708157,0.7056041008035774,0.6207775209329301,0.6179850723272288
2.0,104.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.40770617010089,0.6579735673010488,0.6164059737828732,0.6048590171286152
2.0,105.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.424741939065068,0.6902936557877031,0.6186365404089497,0.5872757905494498
2.0,106.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4321710944597354,0.6897608933292834,0.589612997761121,0.6254492786153389
2.0,107.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4501117521304736,0.6737467871132059,0.6064629153529713,0.5792501993195598
2.0,108.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.387441296976936,0.68446779689555,0.5956255457630028,0.6275296297237333
2.0,109.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.441704198767274,0.6852527089066933,0.6006455905295407,0.6277941026150519
2.0,110.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.5076398880157766,0.6767044739444636,0.5943420323128964,0.6028104741006048
2.0,111.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.392070182580321,0.6939319513516244,0.6122339256342905,0.5862103450874452
2.0,112.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3771844089827634,0.6641090428097067,0.5995566290099181,0.6088305325172744
2.0,113.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.454244104991599,0.6518556984689989,0.5824757898846934,0.6154034799166619
2.0,114.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4271765193162715,0.6282287844806207,0.6123067260437904,0.5907443619312254
2.0,115.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4309682053714474,0.7004305146733624,0.5987059672034543,0.6196440813330734
2.0,116.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4452727557179266,0.6925781949317529,0.6249696169946054,0.6069478614440245
2.0,117.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4063582737697464,0.6978087552285986,0.606841985804424,0.6326987046795916
2.0,118.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.382751986867865,0.6540753415089698,0.5861666262469898,0.598997597029995
2.0,119.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4410075052936158,0.6704960848155956,0.6224696366763279,0.5941166844387985
2.0,120.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4248437240776552,0.7023061577731843,0.6084392538520108,0.6217502246570294
2.0,121.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3974229808287744,0.6816781851907658,0.6083790178662877,0.6043917945823966
2.0,122.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.405190868212315,0.6594846372663187,0.6158971747980341,0.6063791679693237
2.0,123.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.376038548141363,0.6795768282591154,0.6291951649749612,0.5931197267509642
2.0,124.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3762642792767057,0.6780449848476995,0.600163372994334,0.5939724042230035
2.0,125.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.411299712895753,0.680200612482076,0.5978986724139057,0.624927500780141
2.0,126.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3856973320447112,0.6643727814349667,0.6212015973990686,0.6193935499225554
2.0,127.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.364552078627672,0.655329971846969,0.5842293895052054,0.6067201966600466
2.0,128.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4379517844992997,0.6882676246828715,0.6110389492484268,0.586817825790172
2.0,129.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4144417993096257,0.6771041067866987,0.6105357132984823,0.6075193161061426
2.0,130.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3746163767457054,0.6962718560240858,0.6264107543361028,0.6226729100986602
2.0,131.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.376590806251982,0.6743595271267911,0.6093728916724457,0.618943528460898
2.0,132.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.397482116986651,0.6788487688886568,0.604276900600862,0.6147319158874736
2.0,133.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3182538044314835,0.6721551955810363,0.6138379720416951,0.6269744477650354
2.0,134.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.406047017702649,0.660536222437012,0.6106890717074531,0.5960637313674142
2.0,135.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.381514148256786,0.6737495470063547,0.6078534010150122,0.6189492163180181
2.0,136.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.397742636214636,0.6423385762189446,0.6118774842389773,0.6025817285628609
2.0,137.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.467263955168506,0.7024226715493803,0.6088310783074266,0.6388644329229078
2.0,138.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.423408244376992,0.683072284709838,0.6288868372279357,0.6105246167858747
2.0,139.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4025680408451504,0.7009397018971685,0.6153166721791731,0.6158734957257849
2.0,140.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.397365557750725,0.6596886641011591,0.5903815583097236,0.6077250753413269
