cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance
4.0,114.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3705264871078064,0.7068254367326936,0.5741654158285565,0.6094130755759373,0.6487407958677849,0.6210948897601882
4.0,115.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3295190154224024,0.7346388869427488,0.6560297106196613,0.62815904370573,0.5925861606978801,0.5925960781255538
4.0,116.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3763711193895176,0.7608643509098217,0.6598609177585676,0.6043073558014705,0.6535707851894828,0.6574202105821205
4.0,117.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4894631714508133,0.7674955906161719,0.6017723970331066,0.5887241666617348,0.582615930144834,0.6044659331301799
4.0,118.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3761245756371143,0.7728502113597754,0.6385613131487119,0.618582158197815,0.588702792310787,0.6125777503649262
4.0,119.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4579367214336383,0.7673925306004455,0.6247641431023251,0.6248757535831938,0.5556907277421301,0.6270999158470382
4.0,120.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.444525606059374,0.7826974111603601,0.6515286223678008,0.582383083208688,0.6776366680855107,0.6691764077695826
4.0,121.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3671648588952268,0.7619492784729202,0.6230703104951998,0.5667255059222268,0.6370349613858931,0.6086266939879407
4.0,122.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.369138047128542,0.7460769389723374,0.6005604904598034,0.5624176957528847,0.5879505962918444,0.6505755511167571
4.0,123.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3833214036826664,0.7230221953201665,0.6295612921949121,0.6149074304790428,0.6201080423683879,0.5948967485980439
4.0,124.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3656919809293897,0.7563392940264876,0.611122888538285,0.6351307742308909,0.6635905787175232,0.6378455112749749
4.0,125.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.271431787681901,0.7543732582939757,0.6143532267358297,0.6159765802792682,0.6116863696276144,0.6227584732922536
4.0,126.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4152307305920577,0.7633219398776706,0.6435688299450176,0.6334645870561405,0.6293320267956817,0.5933924989085712
4.0,127.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3606908282737313,0.7602174635771327,0.619290641010988,0.6542832367438796,0.6321687767916054,0.6480709143826242
4.0,128.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.400946894815354,0.7827237505827964,0.615416634787239,0.6381721316842616,0.6135700310973371,0.6293540864901708
4.0,129.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.389137263425527,0.7450664540422174,0.6048214668648685,0.6140948893322259,0.6087542981792736,0.6138078610387889
4.0,130.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3688280340012,0.7705896881924539,0.659785468941459,0.6012670641016926,0.5739081859808407,0.6250419855632501
4.0,131.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.414332823821712,0.7867386253457724,0.6331492735330416,0.6335009569432852,0.6502381087931263,0.6058520822339791
4.0,132.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.422333935050442,0.7524284952839453,0.5675014092838905,0.5706797048077477,0.6507733293062815,0.6231932966675432
4.0,133.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4176322333895515,0.735580283202057,0.6307600378982419,0.641578953691703,0.6026875394701935,0.5981587086810152
4.0,134.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4817118330010963,0.7814792421468432,0.5756033398770763,0.5934582458057512,0.6108518265093902,0.646387566197941
4.0,135.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4372010014167422,0.7502785684645141,0.6686309879964655,0.618158520024456,0.6323227984411536,0.5635845528356842
4.0,136.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4403643848397154,0.7423042645565618,0.615284378875614,0.5743891303453194,0.6071351527665022,0.6340232316600501
