cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance
3.0,122.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.394058876465843,0.7183845736740938,0.642996041849824,0.5973471311265065,0.5882088783876218
3.0,123.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.398966928740329,0.7292060065194539,0.6052579386190949,0.5945026740959474,0.6302166289808218
3.0,124.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4134033990249244,0.7606303775215706,0.6002216089757141,0.6050882486390485,0.576822965580145
3.0,125.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4201152778127484,0.7879781892266499,0.6256055162494338,0.6250205775442882,0.6187826578768075
3.0,126.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.473794402254725,0.7513208747322544,0.605868864129361,0.5677320175695179,0.6135267901053691
3.0,127.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3671683848603076,0.6733973279646578,0.5917121383048786,0.6086372141125945,0.6294174478353194
3.0,128.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.437808148784688,0.6984041522647688,0.5811128635267853,0.620231283530603,0.5767843473381097
3.0,129.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.386463335448104,0.7035209485473022,0.6235448693554152,0.6065525738408508,0.6179919703013088
3.0,130.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4313489669362918,0.7229530269196645,0.5999901633926593,0.6204910837999567,0.5872540021537885
3.0,131.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4082443462832015,0.7218623052350502,0.5987880033597354,0.5640980601245653,0.585005574386151
3.0,132.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.399089215226039,0.7185738759573959,0.6069059930221891,0.6024977569258626,0.604429222441013
3.0,133.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.422928150631404,0.7267815825598085,0.5675834778399567,0.6318460577733811,0.6460434287683462
3.0,134.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3655901548324163,0.7310331247261809,0.5805977251121411,0.6325827839067764,0.604830240922991
3.0,135.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.458693572106361,0.7019485302558006,0.5995420532386072,0.5923072051725675,0.573055067782936
3.0,136.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4276221876139608,0.7105504679782153,0.5732813606005671,0.6277844720386302,0.5982128935221827
3.0,137.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4290320330542143,0.7390407547709674,0.5603540837700692,0.6133087826584375,0.6405239716381652
3.0,138.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4631430837626245,0.718141093313094,0.6097958001096974,0.593932678209472,0.5747748822117
3.0,139.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.335384115237209,0.7370975530625369,0.5954399567818188,0.6232236605437785,0.6200356207646635
3.0,140.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.439592818948829,0.7176532335614862,0.5765629595357478,0.6035616613396971,0.6378174196035931
3.0,141.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.412535154559828,0.7210491634593182,0.6009488058414103,0.6008186311956865,0.6199138794927982
3.0,142.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3018989861064703,0.7093863994891955,0.6377007594993405,0.6187506273007154,0.552721123011395
3.0,143.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3373129041939458,0.7371258433326529,0.621034891828835,0.6190507407201877,0.6287978318692377
3.0,144.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4374729843398666,0.7608479478896961,0.6544287544345607,0.6112249364350081,0.6207545225055683
3.0,145.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.320876857876129,0.7062308792281917,0.58809693698299,0.5911126291463356,0.6028971876732497
3.0,146.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4153084484563414,0.6939561098279603,0.5990492874903212,0.6083615979996689,0.6394820710615319
3.0,147.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.380411741215282,0.6901968776756299,0.6342720000010468,0.5748592590397646,0.5767135706958092
3.0,148.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4459833986843047,0.7213640280373979,0.6126226756189019,0.5957320669494935,0.5806909088204978
3.0,149.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3711323120396273,0.7406741163438774,0.5974755597900839,0.6424698281226986,0.6336166448369932
3.0,150.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4741764854639205,0.7602968432775741,0.6448435973913941,0.6165306897834358,0.5975969875716441
3.0,151.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4449860568942343,0.7045329808657036,0.6033452132035345,0.6045812646504612,0.6165084077857091
3.0,152.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4333044342606422,0.7032081719741164,0.5942701832820817,0.5933644860814546,0.5849377519167296
3.0,153.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3980287831622067,0.7159201723602869,0.6145144362237004,0.5818890335748754,0.6199721827579878
3.0,154.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4124422580265064,0.7435545325528377,0.6441640235474752,0.5838003016114133,0.6033605380614617
3.0,155.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.448472827253428,0.7448932844271515,0.6058986894343791,0.6014214427085184,0.5866331111341532
